seed,setting,update_index,accepted_update_rank,example_id,parent_G,child_G,correct_coalition_size,parent_wrong_coalition_sizes,child_wrong_coalition_sizes,target_agent_id,target_agent_newly_correct,repair_distance_parent,repair_distance_child
50,S0,14,3,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,2,3,3,[3],[2],4,True,1,0
50,S0,14,3,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,2,3,3,[3],[2],4,True,1,0
50,S1,7,4,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,2,3,3,[3],[2],4,True,1,0
50,S1,7,4,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,3,3,[3],[2],4,True,1,0
50,S1,7,4,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,2,3,3,[3],[2],4,True,1,0
50,S1,7,4,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,2,3,3,[3],[2],4,True,1,0
50,S1,7,4,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,2,3,3,[3],[2],4,True,1,0
50,S1,16,5,4e480785c7153bcca216b7f0d10c6385c7ce7ea28e098f3c41e9149f10b738cf,2,3,3,"[2,1]","[1,1]",2,True,1,0
50,S1,16,5,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,2,3,3,[3],[2],2,True,1,0
50,S1,16,5,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,3,3,[3],[2],2,True,1,0
50,S1,16,5,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,2,3,3,[3],[2],2,True,1,0
50,S1,31,7,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,3,3,[3],[2],2,True,1,0
50,S2,2,3,395899214628d88ce3606f769ec8aa9bb61f260cfe3c2cb38b880cefaf567d88,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,db1522cb1e9faea66693043bdba783103f021f249ff6c80e50578f3e1395e18e,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,dd08d6581b3e3877846a4a99f992a9d9cfc9ff7c67f0036184d3a213c0f97ca1,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,c71e4045e51e39498a9f8bd5f084e3d402588c84b0e5db4e870547eeb2d843bd,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,e5ea73458c15216da1433eb90dee13dd59e142b50b4277f2510ddd1340e29ebd,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,2e586ff5a7843cea7ea24387e93cfa7f46492c4c70f1baa0340d32237f7854db,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,f64a3984529e409068310bc14ee855cee9ba35f94babcb79c9538c6019daeb12,2,3,3,[3],[2],4,True,1,0
50,S2,2,3,fa905aa1108342ffe7464ff085f98ac61050842972cb97610d172f24fc300e52,2,3,3,[3],[2],4,True,1,0
50,S2,13,7,38100a39707ef9399acc5e4ca32d137c48e41fc8da463d881e43d2b887fca075,2,3,3,[3],[2],2,True,1,0
50,S2,14,8,f039c420e78404ff03ff216d25a34e192a50a9d8e927d289cc65655d4b003dbb,2,3,3,[3],[2],3,True,1,0
